"long","lat","order","hole","piece","group","id"
-71.1297288812757,42.373572648532,1,FALSE,"1",1238.1,"1238"
-71.1294999793888,42.3735573269118,2,FALSE,"1",1238.1,"1238"
-71.1292969921363,42.3735329954818,3,FALSE,"1",1238.1,"1238"
-71.1290817253153,42.3735115050078,4,FALSE,"1",1238.1,"1238"
-71.1288532105294,42.3734302825556,5,FALSE,"1",1238.1,"1238"
-71.1286061892674,42.3733372061764,6,FALSE,"1",1238.1,"1238"
-71.1284024649827,42.3732318452147,7,FALSE,"1",1238.1,"1238"
-71.1282637427683,42.3731396580561,8,FALSE,"1",1238.1,"1238"
-71.1281349521641,42.373072350676,9,FALSE,"1",1238.1,"1238"
-71.1279705759796,42.3729862921846,10,FALSE,"1",1238.1,"1238"
-71.1278524936527,42.3729150578649,11,FALSE,"1",1238.1,"1238"
-71.127776863708,42.3728511630717,12,FALSE,"1",1238.1,"1238"
-71.1277082822153,42.3727862106983,13,FALSE,"1",1238.1,"1238"
-71.1275422452169,42.3726731376821,14,FALSE,"1",1238.1,"1238"
-71.1273366401931,42.3725167225948,15,FALSE,"1",1238.1,"1238"
-71.1272436441015,42.3724330549535,16,FALSE,"1",1238.1,"1238"
-71.1271887047323,42.3723608541638,17,FALSE,"1",1238.1,"1238"
-71.1271229396696,42.3722920393356,18,FALSE,"1",1238.1,"1238"
-71.1270533800427,42.3722490503274,19,FALSE,"1",1238.1,"1238"
-71.1269450546621,42.3721502079585,20,FALSE,"1",1238.1,"1238"
-71.1268198193798,42.3720159294488,21,FALSE,"1",1238.1,"1238"
-71.126757617692,42.3719194872314,22,FALSE,"1",1238.1,"1238"
-71.1266678192838,42.3717880243777,23,FALSE,"1",1238.1,"1238"
-71.1266053710504,42.3716511584967,24,FALSE,"1",1238.1,"1238"
-71.1265489872237,42.3715153926068,25,FALSE,"1",1238.1,"1238"
-71.1265035507455,42.3713762411491,26,FALSE,"1",1238.1,"1238"
-71.1264766034999,42.3712518243473,27,FALSE,"1",1238.1,"1238"
-71.1264638937323,42.3711836315304,28,FALSE,"1",1238.1,"1238"
-71.1264500237658,42.371003529562,29,FALSE,"1",1238.1,"1238"
-71.1264527372887,42.3708729970971,30,FALSE,"1",1238.1,"1238"
-71.1264202335639,42.3707232642219,31,FALSE,"1",1238.1,"1238"
-71.1263558264475,42.3706099792657,32,FALSE,"1",1238.1,"1238"
-71.1262712929056,42.3704920374277,33,FALSE,"1",1238.1,"1238"
-71.1261610903335,42.3703623083999,34,FALSE,"1",1238.1,"1238"
-71.126059994334,42.3702325188374,35,FALSE,"1",1238.1,"1238"
-71.1259584541339,42.3701163220378,36,FALSE,"1",1238.1,"1238"
-71.125870182851,42.3700147529179,37,FALSE,"1",1238.1,"1238"
-71.1258029621729,42.3699053297022,38,FALSE,"1",1238.1,"1238"
-71.1257097717559,42.3698144578406,39,FALSE,"1",1238.1,"1238"
-71.1256253949266,42.3696909342426,40,FALSE,"1",1238.1,"1238"
-71.1255140012649,42.3695577796028,41,FALSE,"1",1238.1,"1238"
-71.1254179649789,42.3694145916696,42,FALSE,"1",1238.1,"1238"
-71.1252970924381,42.3692831164815,43,FALSE,"1",1238.1,"1238"
-71.1252195287436,42.3691984170472,44,FALSE,"1",1238.1,"1238"
-71.1251063901883,42.3691141417882,45,FALSE,"1",1238.1,"1238"
